code	name	badHealthHi	badHealthLo	goodHeathHi	goodHeathLo	ownershipHi	ownershipLo	rentingHi	rentingLo	youngHi	youngLo	oldHi	oldLo	christianHi	christianLo	aethiestHo	aethiestLo	asianHi	asianLo	blackHi	blackLo	whiteHi	whiteLo
synE07000153	Kettering	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000154	Northampton	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000155	South Northamptonshire	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000156	Wellingborough	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000163	Craven	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000164	Hambleton	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	true	false	false	false	false
synE07000165	Harrogate	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000166	Richmondshire	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000167	Ryedale	false	false	false	true	false	false	false	false	false	false	true	false	true	false	false	false	false	false	false	false	false	false
synE07000168	Scarborough	false	false	false	true	false	false	false	false	false	true	true	false	false	false	false	false	false	false	false	false	false	false
synE07000169	Selby	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false
synE07000170	Ashfield	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false
synE07000171	Bassetlaw	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false
synE07000172	Broxtowe	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000173	Gedling	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false
synE07000174	Mansfield	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000175	Newark and Sherwood	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000176	Rushcliffe	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000177	Cherwell	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000178	Oxford	false	true	true	false	false	false	false	false	false	true	false	true	false	true	true	false	false	false	false	false	false	false
synE07000179	South Oxfordshire	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000180	Vale of White Horse	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000181	West Oxfordshire	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000187	Mendip	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000188	Sedgemoor	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000189	South Somerset	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	true	false	false	false	false
synE07000190	Taunton Deane	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000191	West Somerset	false	false	false	true	true	false	false	true	false	true	true	false	false	false	false	false	false	true	false	true	true	false
synE07000192	Cannock Chase	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000193	East Staffordshire	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000194	Lichfield	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000195	Newcastle-under-Lyme	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000196	South Staffordshire	false	false	false	false	false	false	false	false	false	true	false	false	true	false	false	true	false	false	false	false	false	false
synE07000197	Stafford	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000198	Staffordshire Moorlands	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false
synE07000199	Tamworth	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000200	Babergh	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000201	Forest Heath	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000202	Ipswich	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false
synE07000203	Mid Suffolk	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000204	St Edmundsbury	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000205	Suffolk Coastal	false	false	false	false	true	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false
synE07000206	Waveney	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false
synE07000207	Elmbridge	false	true	true	false	false	false	false	true	true	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000208	Epsom and Ewell	false	true	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false
synE07000209	Guildford	false	true	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
